system:index,doa,mean_std,stats_percentile,.geo
S1A_IW_GRDH_1SDV_20190628T062353_20190628T062418_027876_0325A7_44ED,201906179,"{VV_mean=-13.05992421596886, VV_stdDev=3.5524058154793097, VH_mean=-25.320823077688104, VH_stdDev=7.133441758406976}","{VV_p2=-22.24560604324268, VV_p98=-6.769772290918624, VH_p2=-34.735154448294544, VH_p98=-12.770713613481336}",
S1A_IW_GRDH_1SDV_20190628T062418_20190628T062443_027876_0325A7_DA85,201906179,"{VV_mean=-14.561751073476657, VV_stdDev=4.261002155180615, VH_mean=-26.92991684272722, VH_stdDev=7.8879453891275295}","{VV_p2=-23.240269464050275, VV_p98=-6.76939530026119, VH_p2=-36.7332417346697, VH_p98=-12.770308245813565}",
S1B_IW_GRDH_1SDV_20190704T062323_20190704T062348_016980_01FF2D_FDAD,201907185,"{VV_mean=-13.649079506811034, VV_stdDev=4.335549086311783, VH_mean=-23.578540484940067, VH_stdDev=8.1296854096512}","{VV_p2=-21.736964017528376, VV_p98=-6.770218968716919, VH_p2=-36.737624795269674, VH_p98=-13.270497525101245}",
S1A_IW_GRDH_1SDV_20190710T062354_20190710T062419_028051_032AFB_BE5A,201907191,"{VV_mean=-23.186550596069782, VV_stdDev=10.450947099932698, VH_mean=-27.843140653158592, VH_stdDev=8.497746619342273}","{VV_p2=-38.237398351776676, VV_p98=-7.271085962513476, VH_p2=-39.7376419262508, VH_p98=-13.76893272139747}",
S1A_IW_GRDH_1SDV_20190710T062419_20190710T062444_028051_032AFB_1998,201907191,"{VV_mean=-17.59963166219405, VV_stdDev=6.024496075315764, VH_mean=-28.015293541538988, VH_stdDev=8.01776319592435}","{VV_p2=-29.243543078823254, VV_p98=-7.770478157843785, VH_p2=-38.73494902414373, VH_p98=-13.76991718587561}",
S1B_IW_GRDH_1SDV_20190716T062324_20190716T062349_017155_020459_05B5,201907197,"{VV_mean=-17.027588888426365, VV_stdDev=8.20419624453647, VH_mean=-24.590443276180597, VH_stdDev=8.775859309752732}","{VV_p2=-33.74693382565023, VV_p98=-6.7702167636742026, VH_p2=-39.737752774926435, VH_p98=-13.77352499271401}",
S1A_IW_GRDH_1SDV_20190722T062355_20190722T062420_028226_033042_9BA3,201907203,"{VV_mean=-19.14801122844248, VV_stdDev=7.453053741866607, VH_mean=-27.6603711740687, VH_stdDev=8.296483077832699}","{VV_p2=-32.23827184445021, VV_p98=-7.269851288553372, VH_p2=-38.736273388096826, VH_p98=-13.7729460112576}",
S1A_IW_GRDH_1SDV_20190722T062420_20190722T062445_028226_033042_162E,201907203,"{VV_mean=-21.4809704017391, VV_stdDev=9.138487831464861, VH_mean=-28.37499356252102, VH_stdDev=8.229123834786169}","{VV_p2=-37.241153397323, VV_p98=-7.272053726051066, VH_p2=-39.23683628008502, VH_p98=-14.26705731121444}",
S1B_IW_GRDH_1SDV_20190728T062325_20190728T062350_017330_020970_FA69,201907209,"{VV_mean=-14.499546562719738, VV_stdDev=5.77429658868644, VH_mean=-24.362838056895665, VH_stdDev=8.237629643097208}","{VV_p2=-27.744054532815063, VV_p98=-6.771092836964889, VH_p2=-38.73694126825724, VH_p98=-14.27364143159143}",
S1A_IW_GRDH_1SDV_20190803T062356_20190803T062421_028401_033597_6658,201908215,"{VV_mean=-16.536649754123857, VV_stdDev=6.314898768587072, VH_mean=-27.511247586860502, VH_stdDev=7.9812914167259486}","{VV_p2=-32.74741045441826, VV_p98=-7.272214593541725, VH_p2=-38.73679592800474, VH_p98=-14.269366328636385}",
